Rk,Player,AV,Sk,Def%,PD,Season,Age,Team,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,STSnp,ST %,Pos
169,Dont'a Hightower,13,2.5,67.9,2,2016,26,NWE,13,13,2.5,31,34,65,1,8,0,0,0,2,0,0,708,53,11.8,MLB
170,Talanoa Hufanga,13,2,96.1,9,2022,23,SFO,17,17,2,66,31,97,5,3,4,61,1,9,2,0.2,1029,93,21.2,SS
171,Melvin Ingram,13,10.5,84.9,1,2017,28,LAC,16,16,10.5,43,13,56,17,25,0,0,0,1,0,0,890,22,5.1,RDE
172,Eddie Jackson,13,1,86,15,2018,25,CHI,14,14,1,41,10,51,2,1,6,81,2,15,2,0.2,905,39,9.2,SS
173,Grady Jarrett,13,7.5,77.4,0,2019,26,ATL,16,16,7.5,38,31,69,12,16,0,0,0,0,0,0,806,56,12.7,LDT
174,Chris Jones,13,7.5,64.5,4,2020,26,KAN,15,14,7.5,23,13,36,3,28,0,0,0,4,0,0,693,37,8.4,LDT
175,Cameron Jordan,13,15.5,82.6,3,2019,30,NOR,16,16,15.5,37,16,53,15,25,0,0,0,3,0,0,876,64,13.9,LDE
176,Cameron Jordan,13,12.5,74.3,6,2021,32,NOR,16,16,12.5,38,21,59,13,22,0,0,0,6,0,0,830,73,15.6,LDE
177,DeMarcus Lawrence,13,6,60.8,3,2022,30,DAL,17,17,6,43,22,65,9,13,0,0,0,3,0,0,697,0,0,LDE
178,Dexter Lawrence,13,7.5,76.4,3,2022,25,NYG,16,16,7.5,35,33,68,7,28,0,0,0,3,0,0,864,130,27.6,NT
179,Dexter Lawrence,13,4.5,62.7,2,2023,26,NYG,16,16,4.5,32,21,53,7,21,0,0,0,2,0,0,707,29,6.3,DL
180,Cory Littleton,13,4,95.4,13,2018,25,LAR,16,16,4,90,35,125,9,4,3,48,1,13,0,0,964,146,30.7,LILB
181,Clay Matthews,13,6.5,97.2,3,2015,29,GNB,16,16,6.5,49,17,66,14,19,1,42,0,3,0,0,1017,63,13.9,RILB
182,Gerald McCoy,13,7,74.9,5,2016,28,TAM,15,15,7,26,8,34,5,14,0,0,0,5,3,0.3,795,57,13,LDT
183,Von Miller,13,14.5,78.4,3,2018,29,DEN,16,16,14.5,29,19,48,14,26,1,42,0,3,0,0,844,0,0,ROLB
184,C.J. Mosley,13,0,83.6,8,2016,24,BAL,14,14,0,56,36,92,5,4,4,40,0,8,0,0,875,21,4.6,LILB
185,C.J. Mosley,13,1,97.9,7,2022,30,NYJ,17,17,1,99,59,158,5,3,1,0,0,7,0,0,1114,95,20.7,RILB
186,Reggie Nelson,13,0,97.1,14,2015,32,CIN,16,16,0,52,25,77,2,0,8,115,0,14,0,0,1054,142,32.1,FS
187,Alec Ogletree,13,0,100,11,2016,25,LAR,16,16,0,98,38,136,9,3,2,15,0,11,0,0,1090,2,0.4,MLB
188,Daron Payne,13,11.5,87,5,2022,25,WAS,17,17,11.5,32,32,64,18,20,0,0,0,5,0,0,908,83,18,LDT
189,Jason Pierre-Paul,13,9.5,88.7,6,2020,31,TAM,16,16,9.5,34,21,55,7,14,2,15,0,6,0,0,943,0,0,LOLB
